Date,Close,Open,High,Low,Volume,,,,,,,,,,,,
4/15/20,63.12,62.28,64.02,62.02,1671703,,,,,,,,,,,,
4/16/20,63.17,63.71,63.95,62.13,2491497,,,,,,,,,,,,
4/17/20,64.16,64.24,64.72,63.56,1943656,,,,,,,,,,,,
4/20/20,63.33,63.55,64.08,63.07,1612376,,,,,,,,,,,,
4/21/20,60.82,62.35,62.71,60.49,2130516,,,,,,,,,,,,
4/22/20,63.16,62.28,64.28,62.1,2093140,,,,,,,,,,,,
4/23/20,63.82,63.58,64.67,63.28,1526152,,,,,,,,,,,,
4/24/20,63.97,63.06,64.02,62.47,1634382,,,,,,,,,,,,
4/27/20,63.79,64.8,64.81,63.45,1600563,,,,,,,,,,,,
4/28/20,61.68,64.4,64.4,61.61,2951309,,,,,,,,,,,,
4/29/20,67.07,67.07,68,66.27,3793630,,,,,,,,,,,,
4/30/20,67.43,66.24,67.64,66.12,2668906,,,,,,,,,,,,
5/1/20,66.03,66.43,67.6,65.55,2072639,,,,,,,,,,,,
5/4/20,66.34,65.41,66.38,64.95,1504017,,,,,,,,,,,,
5/5/20,67.56,66.9,68.7,66.87,1651533,,,,,,,,,,,,
5/6/20,67.37,68.08,68.56,67.36,1204444,,,,,,,,,,,,
5/7/20,68.63,68.3,68.88,67.76,1399759,,,,,,,,,,,,
5/8/20,69.42,69.16,69.94,68.77,1386198,,,,,,,,,,,,
5/11/20,70.16,68.91,70.83,68.86,1412116,,,,,,,,,,,,
5/12/20,68.79,70.36,70.75,68.74,1390600,,,,,,,,,,,,
5/13/20,67.47,68.85,69.27,66.42,1812585,,,,,,,,,,,,
5/14/20,67.81,66.75,67.87,66.2,1599053,,,,,,,,,,,,
5/15/20,68.66,67.5,68.72,66.95,1672769,,,,,,,,,,,,
5/18/20,69.2,68.09,69.62,67.71,1820589,,,,,,,,,,,,
5/19/20,68.67,69.35,69.6,68.67,1280649,,,,,,,,,,,,
5/20/20,70.34,69.48,70.52,69.36,1655375,,,,,,,,,,,,
5/21/20,70.14,70.4,70.77,69.67,1385194,,,,,,,,,,,,
5/22/20,70.52,69.84,70.64,69.59,1294475,,,,,,,,,,,,
5/26/20,70.85,71.86,72.05,70.61,2060643,,,,,,,,,,,,
5/27/20,70.89,70.86,71.09,69.56,1656901,,,,,,,,,,,,
5/28/20,70.84,69.84,72.04,69.8,1687480,,,,,,,,,,,,
5/29/20,71.45,70.85,71.63,70.67,1818880,,,,,,,,,,,,
6/1/20,71.59,70.92,71.9,70.9,1217140,,,,,,,,,,,,
6/2/20,71.96,71.53,71.98,70.94,1278128,,,,,,,,,,,,
6/3/20,71.82,71.92,72.33,71.49,1254483,,,,,,,,,,,,
6/4/20,70.61,71.52,71.95,70.24,1484272,,,,,,,,,,,,
6/5/20,71.92,70.66,72.25,70.3,1733928,,,,,,,,,,,,
6/8/20,72.33,71.12,72.4,71.12,1401828,,,,,,,,,,,,
6/9/20,72.81,72.27,73.4,72.16,1406234,,,,,,,,,,,,
6/10/20,73.29,72.98,73.71,72.81,1521378,,,,,,,,,,,,
6/11/20,70.19,72.12,72.72,70.1,1983786,,,,,,,,,,,,
6/12/20,70.66,71.42,71.85,69.3,1916815,,,,,,,,,,,,
6/15/20,70.99,69.54,71.24,69.4,1502903,,,,,,,,,,,,
6/16/20,72.14,72.26,72.75,71.3,1707763,,,,,,,,,,,,
6/17/20,72.56,72.36,73,71.57,1545365,,,,,,,,,,,,
6/18/20,71.8,72.46,72.57,71.35,1581916,,,,,,,,,,,,
6/19/20,71.59,72.2,72.39,71.07,3151176,,,,,,,,,,,,
6/22/20,72.59,71.45,72.64,71.16,1538596,,,,,,,,,,,,
6/23/20,73.22,72.78,73.8,72.26,1429764,,,,,,,,,,,,
6/24/20,71.6,73.08,73.77,71.49,1756022,,,,,,,,,,,,
6/25/20,72.07,71.5,72.15,71,1220411,,,,,,,,,,,,
6/26/20,68,71.57,71.67,67.6,4081026,,,,,,,,,,,,
6/29/20,69.75,67.91,69.78,67.35,1810180,,,,,,,,,,,,
6/30/20,70.68,69.52,70.93,69.2,2035518,,,,,,,,,,,,
7/1/20,71.9,70.56,72.15,70.49,1775167,,,,,,,,,,,,
7/2/20,73.24,72.35,74.15,72.32,1859480,,,,,,,,,,,,
7/6/20,74.79,74,75.33,73.64,1560638,,,,,,,,,,,,
7/7/20,74.26,74.5,75.84,74.18,1450930,,,,,,,,,,,,
7/8/20,74.8,74.72,75.29,74.28,1249658,,,,,,,,,,,,
7/9/20,75.55,75.32,76.14,74.4,1423322,,,,,,,,,,,,
7/10/20,77.09,75.31,77.19,74.83,1853991,,,,,,,,,,,,
7/13/20,75.57,77.5,78.86,75.26,1842866,,,,,,,,,,,,
7/14/20,76.03,74.52,76.15,74.18,1585016,,,,,,,,,,,,
7/15/20,75.68,76.16,76.77,74.9,1610684,,,,,,,,,,,,
7/16/20,75.9,75,75.93,74.32,1519345,,,,,,,,,,,,
7/17/20,75.78,76.08,76.17,74.92,1447475,,,,,,,,,,,,
7/20/20,78.29,75.76,78.51,75.18,1553370,,,,,,,,,,,,
7/21/20,77.92,79.35,79.35,77.71,1214553,,,,,,,,,,,,
7/22/20,78.42,78.03,78.5,77.31,921909,,,,,,,,,,,,
7/23/20,75.78,78.35,78.59,75.37,1627634,,,,,,,,,,,,
7/24/20,75.59,74.95,75.88,74.42,1536314,,,,,,,,,,,,
7/27/20,76.51,75.78,77.05,75.76,1245980,,,,,,,,,,,,
7/28/20,75.02,76.26,76.32,74.88,1702174,,,,,,,,,,,,
7/29/20,76.1,75.32,76.56,75.07,1101602,,,,,,,,,,,,
7/30/20,76.57,74.85,76.89,74.61,1562685,,,,,,,,,,,,
7/31/20,74.15,75.25,75.45,72.7,3411769,,,,,,,,,,,,
8/3/20,73.72,74.33,74.52,73.28,2331514,,,,,,,,,,,,
8/4/20,73.25,73.83,74.28,72.93,1901374,,,,,,,,,,,,
8/5/20,73.68,73.47,74.12,73.17,1979957,,,,,,,,,,,,
8/6/20,75.01,73.59,75.12,73.3,1991872,,,,,,,,,,,,
8/7/20,74.72,75,75.84,74.08,1574452,,,,,,,,,,,,
8/10/20,74.81,74.36,75.2,73.65,1272550,,,,,,,,,,,,
8/11/20,74.02,74.62,75.5,73.9,1454365,,,,,,,,,,,,
8/12/20,75.33,74.28,75.62,74.26,1437655,,,,,,,,,,,,
8/13/20,75.92,75.52,76.86,75.4,1455208,,,,,,,,,,,,
